En la caja:
BG 13.00000 6.00000 6.00000
V 13.00000 20.00000 4.00000
B 13.00000 20.00000 4.00000
AZ 10.00000 15.00000 10.00000
AV 10.00000 15.00000 10.00000
AR 10.00000 15.00000 10.00000
AN 10.00000 15.00000 10.00000
AJ 10.00000 15.00000 10.00000
AF 10.00000 15.00000 10.00000
AB 10.00000 15.00000 10.00000
AE 13.00000 34.00000 4.00000
R 10.00000 18.00000 10.00000
H 10.00000 18.00000 10.00000
C 10.00000 18.00000 10.00000
G 13.00000 35.00000 4.00000
X 13.00000 24.00000 6.00000
S 13.00000 24.00000 6.00000
Z 15.00000 24.00000 6.00000
U 15.00000 24.00000 6.00000
O 15.00000 24.00000 6.00000
J 15.00000 24.00000 6.00000
E 15.00000 24.00000 6.00000
A 15.00000 24.00000 6.00000
D 13.00000 30.00000 6.00000
AA 13.00000 46.00000 4.00000
AC 13.00000 35.00000 6.00000
AG 13.00000 44.00000 6.00000
AL 11.00000 64.00000 6.00000
F 30.00000 24.00000 6.00000
P 15.00000 67.00000 6.00000
W 10.00000 72.00000 10.00000
AT 52.00000 24.00000 6.00000
AP 61.00000 24.00000 6.00000
Q 13.00000 188.00000 4.00000
AI 13.00000 240.00000 4.00000
BJ 13.00000 634.00000 6.00000
BC 13.00000 634.00000 6.00000
BA 13.00000 634.00000 6.00000
AS 13.00000 634.00000 6.00000
I 13.00000 835.00000 6.00000
Y 48.00000 242.00000 6.00000
AH 235.00000 63.00000 6.00000
AY 13.00000 2440.00000 4.00000
AQ 13.00000 2440.00000 4.00000
AM 13.00000 2440.00000 4.00000
BB 1115.00000 24.00000 6.00000
AX 1115.00000 24.00000 6.00000
AD 1115.00000 24.00000 6.00000
AW 13.00000 2114.00000 6.00000
AO 13.00000 2114.00000 6.00000
AK 13.00000 2114.00000 6.00000
K 255.00000 121.00000 6.00000
M 256.00000 100.00000 10.00000
BH 623.00000 94.00000 6.00000
BM 132.00000 634.00000 6.00000
BI 677.00000 134.00000 6.00000
L 40.00000 55.00000 466.00000
T 123.00000 1040.00000 10.00000

Fuera de la caja:
N 459.00000 513.00000 6.00000
BK 652.00000 688.00000 6.00000
BE 724.00000 634.00000 6.00000
BD 1263.00000 634.00000 6.00000
BF 1333.00000 634.00000 6.00000
AU 1322.00000 2440.00000 4.00000
BL 5523.00000 63444.00000 6.00000
Espacio libre dentro de la caja:
368266 centímetros cúbicos
